tid,Age on effective date of action,Sex,Total number in household,Number of dependents,Number of bedrooms in unit,"Adjusted annual income: 8a minus 8x (if 8x is larger, put 0)",TTP if based on adjusted annual income: (9d x 9e) / 100,Most recent ( Previous)TTP,"Utility allowance, if any","Tenant rent: 10d minus 10en If positive or 0, put tenant rent If negative, credit tenant"
t0014685,69,F,1,0,1,9412,235,232,0,235
t0012813,56,F,1,0,1,3232,81,84,0,81
t0011789,69,F,1,0,1,13405,335,322,0,335
t0008159,75,M,1,0,1,12946,324,329,0,324
t0011723,73,M,1,0,1,9164,229,226,0,229
t0007933,63,F,1,0,1,9412,235,232,0,235
t0007153,65,M,1,0,1,9020,226,215,0,226
t0037161,70,M,1,0,1,9020,226,0,0,226
t0007701,64,F,1,0,1,11038,276,352,0,276
t0007790,68,F,1,0,1,9034,226,216,0,226
t0012993,58,M,1,0,1,9020,226,219,0,226
t0013033,64,M,1,0,1,9020,226,219,0,226
t0007990,60,M,1,0,1,8341,209,207,0,209
t0024165,56,M,1,0,1,12668,317,0,0,317
t0007167,63,M,1,0,1,8852,221,0,0,221
b0014540,66,M,1,0,1,9156,229,219,0,229
t0023894,59,F,1,0,1,9020,226,0,0,226
t0024157,62,M,1,0,1,8288,207,0,0,207
t0011816,61,F,1,0,1,9164,229,226,0,229
t0007392,63,F,1,0,1,17710,443,438,0,443
t0007824,64,F,1,0,1,15068,377,403,0,377
t0007590,70,M,1,0,1,9156,229,226,0,229
t0013719,58,F,2,0,1,18920,473,461,0,473
t0012817,55,F,1,0,1,8216,206,197,0,206
t0016598,54,F,1,0,1,8996,225,226,0,225
t0011223,90,F,2,0,1,12248,306,298,0,306
t0012082,58,F,1,0,1,8480,212,206,0,212
t0014795,69,M,1,0,1,15905,398,394,0,398
t0007743,71,F,1,0,1,9000,225,226,0,225
t0007845,71,F,1,0,1,9416,236,234,0,236
t0015216,54,M,1,0,1,9164,229,226,0,229
t0012995,58,F,1,0,1,12080,302,294,0,302
t0011602,69,M,1,0,1,9044,226,223,0,226
t0008143,64,F,1,0,1,9404,235,232,0,235
t0016098,81,F,1,0,1,9439,236,233,0,236
t0016459,69,M,1,0,1,9164,229,221,0,229
t0011631,69,M,1,0,1,9241,231,145,0,231
t0007625,63,F,1,0,1,11540,289,284,0,289
t0037648,54,M,1,0,1,5768,144,0,0,144
t0037798,56,F,1,0,1,9164,229,226,0,229
t0013428,80,M,1,0,1,8156,204,232,0,204
t0012463,71,M,1,0,1,8756,219,188,0,219
t0007204,63,F,1,0,1,9164,229,226,0,229
t0008056,76,F,1,0,1,10183,255,252,0,255
t0008179,75,M,1,0,1,9260,232,0,0,232
t0008137,66,M,1,0,1,9164,229,222,0,229
t0013845,85,F,1,0,1,10364,259,255,0,259
t0011671,68,F,1,0,1,7700,193,67,0,193
t0008139,60,F,1,0,1,9416,236,232,0,236
t0007213,67,F,1,0,1,8660,217,212,0,217
t0014708,63,M,1,0,1,11912,298,290,0,298
t0014645,60,M,1,0,1,9168,229,226,0,229
t0023747,57,M,1,0,1,9164,229,226,0,229
t0014414,63,M,1,0,1,9387,235,225,0,235
t0013592,72,M,1,0,1,9309,233,221,0,233
t0007138,81,F,1,0,1,10400,260,253,0,260
t0015470,90,F,1,0,1,9260,232,160,0,232
t0016112,68,M,1,0,1,9404,235,232,0,235
t0007170,86,M,1,0,1,11888,297,293,0,297
t0012476,57,M,1,0,1,9164,229,226,0,229
t0023968,53,M,1,0,1,1800,45,185,0,50
t0010854,62,F,1,0,1,9404,235,232,0,235
t0007128,71,F,1,0,1,9260,232,221,0,232
t0011328,61,M,1,0,1,9168,229,219,0,229
t0013264,57,F,1,0,1,9464,237,221,0,237
t0012812,66,M,1,0,1,10748,269,265,0,269
t0015845,55,M,1,0,1,9143,229,219,0,229
t0037560,63,M,1,0,1,9236,231,221,0,231
t0007987,71,M,1,0,1,8108,203,199,0,203
t0008200,58,F,1,0,1,10244,256,266,0,256
t0012529,63,F,1,0,1,8996,225,226,0,225
t0008202,65,F,1,0,1,9230,231,231,0,231
t0007135,77,M,1,0,1,12655,317,314,0,317
t0012579,67,M,1,0,1,9787,245,275,0,245
t0007842,61,F,1,0,1,9608,240,230,0,240
t0024271,62,M,1,0,1,9404,235,232,0,235
t0012524,66,M,1,0,1,10995,275,300,0,275
t0007814,67,M,1,0,1,14396,360,359,0,360
t0007548,75,M,1,0,1,9404,235,235,0,235
t0024263,57,M,1,0,1,9143,229,219,0,229
t0013233,60,F,1,0,1,10172,254,250,0,254
t0008077,69,F,1,0,1,32099,803,819,0,0
t0013337,59,F,2,0,1,14237,356,354,0,356
t0015711,58,F,1,0,1,7428,186,186,0,186
t0014626,56,M,1,0,1,600,15,50,0,50
t0007883,61,F,1,0,1,8790,220,210,0,220
t0014789,62,F,1,0,1,9164,229,226,0,229
