tid,Age on effective date of action,Sex,Total number in household,Number of dependents,Number of bedrooms in unit,"Adjusted annual income: 8a minus 8x (if 8x is larger, put 0)",TTP if based on adjusted annual income: (9d x 9e) / 100,Most recent ( Previous)TTP,"Utility allowance, if any","Tenant rent: 10d minus 10en If positive or 0, put tenant rent If negative, credit tenant"
t0011054,64,F,1,0,1,8780,220,213,36,184
t0024903,55,F,1,0,1,9737,243,0,0,243
t0012131,58,M,1,0,1,720,18,50,0,50
t0007360,76,F,1,0,1,8758,219,245,0,219
t0012119,58,F,1,0,1,9260,232,225,0,232
t0011130,66,F,1,0,1,9296,233,226,0,233
t0016723,62,M,1,0,1,7316,183,50,0,183
t0038031,80,F,1,0,2,19511,488,0,0,488
t0024965,55,M,1,0,1,9020,226,0,0,226
t0036999,57,M,1,0,1,8564,214,129,0,214
t0016200,62,F,1,0,1,200,5,50,0,50
t0007084,65,M,2,0,2,14264,357,328,0,357
t0037563,55,M,1,0,2,9020,226,0,0,226
t0007146,75,F,1,0,1,9164,229,226,0,229
t0024847,60,M,1,0,1,9164,229,226,0,229
t0011283,66,M,1,0,1,9164,229,226,0,229
t0007246,66,M,1,0,1,9404,235,220,0,235
t0014860,70,F,1,0,1,8996,225,226,0,225
t0016055,64,F,1,0,1,8996,225,226,0,225
t0007218,87,M,1,0,1,10184,255,248,0,255
t0007838,80,M,1,0,1,9404,235,232,0,235
t0007839,65,F,1,0,1,10268,257,50,0,257
t0007830,64,F,1,0,1,8205,205,237,0,205
t0015834,56,M,1,0,1,9260,232,225,0,232
t0015836,85,M,1,0,1,9368,234,232,0,234
t0020534,54,M,1,0,1,11756,294,0,0,294
t0025081,74,M,1,0,1,9164,229,226,0,229
t0025127,68,M,1,0,1,9260,232,225,0,232
t0011677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
t0015872,66,F,1,0,1,9296,233,226,0,233
t0020112,60,M,1,0,1,8996,225,226,0,225
t0014336,64,M,2,0,2,15373,384,219,0,384
t0012461,69,M,1,0,1,9236,231,232,0,231
t0012374,63,F,1,0,1,10496,263,258,0,263
t0037407,60,M,1,0,1,8996,225,226,0,225
t0016780,57,F,1,0,1,600,15,50,0,50
t0007659,76,F,1,0,1,8660,217,206,0,217
t0037561,63,M,1,0,1,8996,225,226,0,225
t0012143,61,M,1,0,1,1200,30,50,0,50
t0012045,58,F,1,0,1,9164,229,226,0,229
t0034304,73,M,1,0,1,9512,238,0,0,238
t0007654,72,M,1,0,1,9344,234,230,0,234
t0016005,54,F,1,0,1,16361,409,408,0,409
t0007675,77,F,1,0,2,8852,221,221,0,221
t0007676,61,M,1,0,1,9020,226,215,0,226
b0036886,74,M,1,0,1,9164,229,226,0,229
t0038033,55,F,1,0,1,9044,226,0,0,226
t0007981,64,M,1,0,1,8168,204,240,0,204
t0015568,58,F,1,0,1,9404,235,227,0,235
t0016464,65,M,2,0,2,9272,232,228,0,232
t0016029,65,M,1,0,1,12200,305,300,0,305
t0007447,59,M,1,0,1,9368,234,206,0,234
t0007917,73,M,1,0,1,9260,232,225,0,232
t0016577,66,M,1,0,1,21575,539,528,0,539
t0008349,65,M,1,0,1,5563,139,0,0,139
t0007957,70,F,1,0,2,9404,235,225,0,235
t0007913,70,F,1,0,1,17685,442,437,0,442
t0007879,65,F,1,0,1,11372,284,276,0,284
t0024841,59,F,1,0,1,9884,247,241,0,247
t0007903,67,M,1,0,1,9020,226,219,0,226
t0016387,57,F,2,0,1,12284,307,302,0,307
t0007905,62,M,1,0,1,9236,231,226,0,231
t0007906,67,F,1,0,2,15631,391,396,0,391
t0007907,62,F,1,0,1,6064,152,50,0,152
t0011780,59,F,1,0,2,9164,229,226,0,229
t0007869,61,M,1,0,2,14624,366,361,0,366
t0012042,64,M,1,0,1,9260,232,225,0,232
t0015720,55,M,1,0,1,4400,110,50,0,110
t0037029,61,F,1,0,1,8048,201,203,0,201
t0007855,79,M,1,0,1,9236,231,232,0,231
t0012497,82,M,1,0,1,7661,191,224,0,191
t0007848,65,M,2,0,1,8588,215,210,0,215
t0016853,64,M,1,0,1,16616,416,395,0,416
t0015707,61,F,1,0,1,9564,239,236,0,239
t0016896,57,M,1,0,1,9536,239,163,0,239
t0024992,57,F,1,0,1,8996,225,226,0,225
t0015528,78,M,1,0,2,8996,225,217,0,225
t0037540,68,M,1,0,1,9164,229,226,0,229
t0014908,65,M,1,0,1,8996,225,219,0,225
t0008510,75,F,1,0,1,9249,231,225,0,231
t0012328,59,M,1,0,1,9164,229,226,0,229
t0015791,57,M,1,0,2,9020,226,219,0,226
t0024890,60,M,1,0,1,8489,212,211,0,212
t0016884,73,M,1,0,1,9020,226,219,0,226
t0015654,73,M,1,0,2,9716,243,239,0,243
t0011356,74,M,1,0,1,9284,232,232,0,232
t0014898,73,M,1,0,1,11180,280,275,0,280
t0008364,67,M,3,1,1,11066,277,212,0,277
t0008156,75,M,1,0,1,9404,235,232,0,235
t0015482,55,M,1,0,1,8240,206,203,0,206
t0008114,71,M,1,0,1,10430,261,261,0,261
t0011277,60,F,1,0,1,5201,130,130,0,130
t0008116,64,M,1,0,1,13424,336,330,0,336
t0037539,57,F,1,0,1,7004,175,172,0,175
t0011276,77,M,1,0,1,19336,483,480,0,483
t0012455,60,M,1,0,1,8996,225,226,0,225
t0008209,64,F,1,0,1,11112,278,274,0,278
t0013252,57,F,1,0,2,8996,225,226,0,225
t0012373,62,F,1,0,1,200,5,50,0,50
t0024883,60,F,1,0,1,16616,416,409,0,416
t0015202,59,F,1,0,1,9164,229,226,0,229
t0008303,72,F,2,0,2,21560,539,540,0,539
t0015876,53,F,1,0,1,9164,229,219,0,229
t0016370,61,M,1,0,1,9404,235,232,0,235
t0010942,74,M,1,0,1,9020,226,226,0,226
t0013216,56,F,1,0,2,9164,229,226,0,229
t0013199,69,F,1,0,1,9404,235,232,0,235
t0008276,85,F,1,0,1,18278,457,438,0,457
t0036971,62,M,1,0,1,8492,212,226,0,212
t0012118,62,M,1,0,2,11528,288,280,0,288
t0037003,61,F,1,0,1,7208,180,225,0,180
t0008258,87,F,1,0,1,20162,504,452,0,504
t0008211,89,F,1,0,2,14963,374,392,0,374
t0016115,57,F,1,0,2,9164,229,226,0,229
t0024925,61,M,1,0,1,8048,201,200,0,201
t0008235,74,M,1,0,1,9404,235,232,0,235
t0010844,61,M,1,0,1,600,15,50,0,50
t0013434,57,F,1,0,2,9404,235,232,0,235
t0011239,58,F,1,0,1,4800,120,120,0,120
t0011034,64,M,1,0,1,5180,130,126,0,130
t0020783,57,M,2,0,2,9020,226,219,0,226
t0008045,57,F,2,0,2,13391,335,324,72,263
t0021892,27,F,4,3,4,8160,204,201,93,111
t0007866,39,F,3,2,2,0,0,50,72,-22
t0007873,61,F,1,0,2,8996,225,231,72,153
t0007592,38,F,4,3,4,20916,523,183,93,430
t0011353,50,F,2,0,4,6413,160,50,93,67
t0016337,31,F,5,4,3,10702,268,218,84,184
t0022799,29,F,4,3,2,2439,61,61,72,-11
t0007720,38,F,3,1,2,16778,419,50,72,347
t0008388,32,F,5,4,4,7248,181,177,93,88
t0009914,65,F,1,0,2,16662,417,411,72,345
t0007723,71,F,5,2,4,79803,1995,2054,0,0
t0023281,29,F,2,1,2,33591,840,152,72,768
t0013219,31,F,3,2,2,5664,142,142,72,70
t0016804,43,F,1,0,2,0,0,376,72,-22
t0016007,44,F,3,2,3,7656,191,100,84,107
t0007649,69,F,1,0,2,9020,226,219,72,154
t0007791,33,F,2,1,2,4580,115,115,72,43
t0011785,33,F,4,3,2,0,0,50,72,-22
t0014419,39,M,2,1,2,9906,248,551,72,176
t0011566,35,F,3,2,2,38961,974,1290,72,0
t0012375,33,F,3,2,2,496,12,50,72,-22
t0007758,42,F,4,2,2,34560,864,512,72,792
t0013669,32,F,5,4,4,8480,212,218,93,119
t0007888,62,F,1,0,2,9404,235,225,72,163
t0015781,24,F,3,2,2,1123,28,50,72,-22
t0007802,31,F,4,3,2,6204,155,50,72,83
t0016013,46,F,2,1,2,12308,308,0,72,236
t0013087,28,F,3,2,2,5631,141,142,72,69
t0015789,33,F,2,1,2,8924,223,194,72,151
t0016418,31,F,5,4,4,0,0,160,93,-43
t0008097,36,F,4,2,4,19060,476,285,93,383
t0011143,29,F,2,1,2,0,0,50,72,-22
t0007506,58,F,1,0,3,17030,426,1192,84,342
t0007509,40,F,4,2,3,8460,212,212,84,128
t0007510,65,F,1,0,3,9404,235,232,84,151
t0007120,69,F,1,0,4,9164,229,214,93,136
t0014176,35,M,2,0,2,9404,235,232,72,163
t0012726,41,F,3,1,3,0,0,50,84,-34
t0007497,34,M,2,1,2,17928,448,448,72,376
t0007591,48,F,2,1,3,2300,58,54,84,-26
t0007599,44,F,2,0,2,11076,277,428,72,205
t0007576,52,F,2,0,4,18004,450,487,93,357
t0007577,64,M,2,0,3,9164,229,226,84,145
t0007129,41,F,1,0,2,9224,231,224,72,159
b0007505,37,F,4,3,3,10390,260,0,93,167
t0015569,25,M,2,1,2,4500,113,50,72,41
t0007574,57,M,2,0,4,22074,552,282,93,459
t0014063,31,M,3,2,2,7360,184,61,72,112
t0007383,34,F,4,3,2,15893,397,263,72,325
t0034535,58,F,2,0,2,15871,397,393,72,325
t0007459,83,F,1,0,3,9164,229,226,84,145
t0012438,29,F,2,1,3,0,0,0,71,-21
t0023536,25,F,2,1,2,120,3,645,72,-22
t0012535,28,F,2,1,2,3120,78,0,72,6
t0029875,25,F,4,3,4,4512,113,0,93,20
t0007471,40,F,3,2,2,11197,280,50,72,208
t0015020,43,F,2,1,2,23814,596,577,72,524
t0007474,64,F,1,0,2,8292,207,724,72,135
t0007475,39,F,4,2,3,51030,1276,410,84,1192
t0011291,26,F,2,1,2,4720,118,50,72,46
t0015595,24,F,3,2,2,25890,647,194,72,575
t0022722,63,F,3,1,3,8684,217,214,84,133
t0015853,45,F,2,1,3,26471,662,331,84,578
t0023511,35,F,3,2,2,3152,79,0,72,7
t0007443,82,F,1,0,3,9236,231,226,84,147
t0007444,76,F,1,0,2,10124,253,246,72,181
t0007445,55,F,3,2,3,24237,606,568,84,522
t0007422,85,F,1,0,3,21123,528,516,84,444
t0011315,31,F,3,2,2,21839,546,567,72,474
t0007222,56,F,3,0,3,9164,229,226,84,145
t0007224,37,F,2,1,2,29771,744,382,72,672
t0007828,35,F,4,3,4,0,0,50,93,-43
t0037767,40,F,4,3,4,10000,250,50,93,157
t0007164,54,F,2,1,2,2482,62,50,72,-10
t0016897,37,F,2,1,2,0,0,104,72,-22
t0007237,43,F,1,0,2,9404,235,232,72,163
t0013278,25,F,3,2,2,11889,297,125,72,225
t0022615,23,F,3,2,2,394,10,0,72,-22
t0023580,43,F,2,1,2,14365,359,420,72,287
t0023598,30,F,3,2,2,26876,672,155,72,600
t0022468,32,F,3,2,3,9608,240,249,84,156
t0007182,60,F,1,0,3,9396,235,50,84,151
t0022574,32,F,4,3,4,7980,200,243,93,107
t0013064,46,F,1,0,2,1680,42,50,72,-22
t0009061,37,M,6,4,4,480,12,0,93,-43
t0034400,29,F,5,4,3,13954,349,225,84,265
t0022641,41,M,4,2,4,13102,328,329,93,235
t0013028,39,F,4,2,3,12378,310,50,84,226
t0007152,46,F,1,0,2,9412,235,225,72,163
t0007131,39,F,1,0,4,0,0,50,93,-43
t0007132,58,F,1,0,2,9468,237,50,72,165
t0011698,26,F,4,3,3,28836,721,261,84,637
t0022707,32,F,3,2,2,0,0,50,72,-22
t0007105,59,F,2,0,2,9020,226,219,72,154
t0012532,29,F,5,4,3,33052,826,50,84,742
t0007121,56,F,2,1,4,600,15,50,93,-43
t0023518,26,F,2,1,2,16680,417,152,72,345
t0013340,28,F,4,3,3,1428,36,0,84,-34
t0014905,24,F,6,5,3,0,0,277,84,-34
t0012651,28,F,3,2,2,0,0,50,72,-22
t0013266,31,F,3,2,2,5208,130,149,72,58
t0008244,32,F,3,2,4,2640,66,387,93,-27
t0023218,46,F,3,2,3,11566,289,297,84,205
t0013050,23,F,2,1,2,720,18,50,72,-22
t0016031,26,F,3,2,2,11000,275,273,72,203
t0014048,29,F,3,2,2,0,0,50,72,-22
b0011116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
t0008287,53,F,3,1,3,7549,189,171,84,105
t0008323,35,F,5,4,2,0,0,50,72,-22
t0007816,40,F,3,1,4,15572,389,87,93,296
t0008198,63,F,1,0,2,9392,235,231,72,163
t0023478,26,M,4,3,3,0,0,51,84,-34
t0013170,23,F,4,3,2,0,0,50,72,-22
t0013059,48,F,5,2,4,5915,148,50,93,55
t0013436,45,F,4,2,3,23482,587,304,84,503
t0034540,37,F,7,6,4,10745,269,50,93,176
t0023026,33,F,4,3,3,11807,295,50,84,211
t0012452,31,F,2,1,2,11247,281,50,72,209
t0016806,40,F,4,3,3,28897,722,209,84,638
t0008342,50,F,3,1,2,4164,104,322,72,32
t0016898,44,F,2,1,2,7604,190,185,72,118
t0008380,38,F,2,1,3,0,0,629,84,-34
t0009297,54,F,3,2,3,13148,329,245,84,245
t0008382,38,F,2,0,2,0,0,513,72,-22
t0008390,73,F,1,0,2,9164,229,226,72,157
t0037896,29,F,2,1,2,8540,214,0,96,118
t0008397,34,F,7,5,4,22310,558,50,93,465
t0015889,32,F,6,5,4,0,0,0,93,-43
t0008398,55,F,1,0,2,9476,237,408,72,165
t0023564,37,F,3,1,3,1502,38,50,84,-34
t0015593,27,M,4,3,3,6880,172,127,84,88
t0011253,29,F,1,0,2,0,0,50,72,-22
t0010894,28,F,2,1,2,17496,437,238,72,365
t0022817,32,F,2,1,2,720,18,0,72,-22
t0010800,48,F,2,1,3,35477,887,499,84,803
t0007982,42,F,4,2,4,17130,428,440,203,225
t0008008,47,F,4,2,4,21267,532,621,129,403
t0007885,52,F,1,0,3,47165,1179,814,117,0
t0007962,40,F,3,2,3,7853,196,151,117,79
t0010038,29,F,4,3,3,10999,275,110,117,158
t0007688,84,F,2,0,3,16313,408,318,117,291
t0024703,29,F,5,4,3,981,25,50,152,-102
t0007603,42,F,4,1,5,1004,25,279,142,-92
t0007664,38,F,3,2,3,12735,318,306,117,201
t0007783,36,F,4,2,3,41142,1029,1088,117,912
t0007809,69,F,2,0,3,14288,357,355,117,240
t0024536,31,F,3,2,3,5502,138,110,117,21
t0007567,56,F,3,1,3,29138,728,785,117,611
t0038376,36,F,4,3,3,7328,183,0,0,183
t0007366,60,F,2,0,3,12862,322,225,117,205
t0007367,65,F,2,1,2,36088,902,814,100,802
t0008221,35,F,9,8,6,10678,267,0,234,33
t0007127,41,F,4,1,3,57594,1440,447,117,0
t0007236,55,F,4,1,4,19401,485,684,129,356
t0007340,45,F,3,1,3,14029,351,278,117,234
t0007145,58,F,2,1,3,11412,285,285,117,168
t0007160,44,M,4,1,3,51798,1295,790,117,0
t0007486,40,F,5,4,4,27901,698,416,129,569
t0007119,37,F,4,3,3,10915,273,189,117,156
t0008291,37,F,3,2,3,13609,340,263,117,223
t0007096,69,F,2,0,3,36921,923,325,117,806
t0008389,53,M,6,0,3,32273,807,780,117,690
t0023175,40,M,4,3,3,20158,504,698,117,387
t0008422,77,F,1,0,3,9404,235,227,117,118
t0008412,41,F,4,1,3,18599,465,453,117,348
t0012867,35,F,3,2,3,30997,775,847,117,658
t0007368,58,F,2,0,3,16432,411,449,117,294
t0007854,78,F,1,0,3,17431,436,417,117,319
t0016883,34,F,5,4,3,0,0,50,117,-67
t0007188,54,F,4,0,3,193311,4833,3561,0,0
t0007909,69,F,1,0,3,9824,246,242,117,129
t0007500,49,F,2,1,3,6608,165,95,117,48
t0007856,50,F,1,0,3,38982,975,1367,117,858
t0007234,51,F,1,0,3,9164,229,226,117,112
t0012538,31,F,4,3,3,8124,203,247,117,86
t0007693,62,F,2,0,3,9260,232,213,117,115
t0007518,45,F,3,0,3,31002,775,954,117,658
t0007477,48,F,2,1,3,15608,390,323,117,273
t0007372,51,F,2,1,3,16279,407,286,117,290
t0007110,54,F,1,0,3,9622,241,60,117,124
t0008474,71,F,2,0,3,9020,226,219,117,109
t0008222,37,F,4,3,3,31795,795,782,117,678
t0007829,45,F,4,3,5,20632,516,306,150,366
t0007085,53,F,1,0,4,9164,229,226,129,100
t0008028,35,F,4,1,3,7840,196,50,117,79
t0008178,60,M,1,0,2,12617,315,312,100,215
t0007401,43,F,3,2,3,8060,202,314,117,85
t0007876,52,F,1,0,3,16815,420,1664,117,303
t0007648,37,F,4,3,3,2966,74,72,117,-43
t0007088,47,F,1,0,3,8996,225,50,117,108
t0008383,69,F,1,0,3,16250,406,403,117,289
t0007864,77,F,3,1,3,27932,698,605,124,574
t0007466,34,M,2,0,3,10724,268,261,117,151
t0023448,31,F,3,1,3,8940,224,217,0,124
t0007501,73,F,1,0,3,9164,229,226,117,112
t0007651,49,F,3,2,3,2171,54,50,117,-63
t0007914,61,F,2,0,3,25341,634,602,117,517
t0007887,35,F,4,3,3,7634,191,485,117,74
t0007464,38,F,4,3,3,7972,199,396,117,82
t0007722,40,F,1,0,3,8964,224,50,117,107
t0007925,60,F,3,1,3,18726,468,276,117,351
t0007369,66,F,2,1,2,18320,458,455,100,358
t0007922,50,F,3,2,3,41193,1030,139,117,913
t0007143,37,F,2,1,2,16891,422,512,148,274
t0007772,63,M,3,1,3,56635,1416,1946,0,0
t0007685,73,F,3,0,3,9284,232,215,117,115
t0007778,64,F,1,0,3,9164,229,219,117,112
t0007197,51,F,2,1,3,8072,202,198,117,85
t0007191,51,F,2,0,3,19790,495,356,117,378
t0007586,50,F,2,0,3,30213,755,755,117,638
t0007980,43,F,4,3,4,20861,521,272,129,392
t0007468,40,F,4,2,3,22232,556,200,117,439
t0007715,70,F,1,0,3,8340,209,205,117,92
t0012033,47,F,2,1,3,17300,433,516,117,316
t0024450,29,F,3,2,3,3840,96,106,117,-21
t0023597,28,F,6,5,3,5920,148,50,117,31
t0007214,40,F,3,2,3,18168,454,714,117,337
t0024779,38,F,1,0,3,18824,471,471,117,354
t0007811,49,F,2,0,3,19445,486,486,117,369
t0007207,56,F,2,0,3,9404,235,232,117,118
t0007142,47,F,2,1,3,12140,304,1402,117,187
t0008237,65,F,1,0,2,9428,236,229,105,131
t0008337,53,F,1,0,3,11596,290,558,117,173
t0007407,45,F,3,1,4,12260,307,257,137,170
t0007702,38,F,3,2,3,8460,212,205,117,95
t0007853,63,F,3,1,3,19737,494,431,117,377
t0012543,28,F,3,2,3,0,0,647,117,-67
t0007725,46,F,4,1,4,3868,97,467,129,-32
t0007491,49,F,3,2,3,11996,300,303,177,123
t0007610,41,M,6,2,3,22480,562,748,117,445
t0008219,53,F,7,6,4,17072,427,189,129,298
t0008217,39,F,4,3,3,54993,1375,580,117,0
t0007186,40,F,3,2,3,17957,449,623,117,332
t0007752,64,F,4,2,3,30947,774,712,117,657
t0008216,38,F,3,2,3,0,0,447,177,-127
t0008484,69,F,4,3,3,10100,253,248,117,136
t0011504,29,F,5,4,3,35948,899,506,117,782
t0008203,38,F,2,1,3,0,0,173,124,-74
t0007727,66,M,5,3,3,29806,745,725,117,628
t0007692,35,F,5,4,3,9042,226,50,117,109
t0008248,58,F,4,1,4,22472,562,183,129,433
t0008164,51,F,2,1,3,26071,652,625,117,535
t0007950,48,F,3,0,3,20857,521,362,117,404
t0007473,52,F,4,3,3,9536,239,484,117,122
t0007605,46,F,2,1,3,12544,314,355,117,197
t0008152,54,F,3,1,3,52769,1319,417,117,0
t0007118,58,F,3,1,3,8516,213,518,117,96
t0007249,89,M,2,0,3,6476,162,221,117,45
t0007565,61,M,1,0,3,12830,321,293,117,204
t0007882,32,F,5,4,3,5360,134,165,117,17
t0024482,47,F,4,2,3,10358,259,0,117,142
t0024513,38,F,2,1,3,1320,33,477,117,-67
t0007738,71,F,3,0,4,10136,254,230,137,117
t0008530,59,F,1,0,3,30834,771,911,117,654
t0007108,40,F,6,3,3,0,0,491,0,50
t0008215,57,F,1,0,3,9404,235,232,117,118
t0009040,36,F,4,3,3,7980,200,195,117,83
t0008507,56,F,3,0,3,9020,226,313,117,109
t0007449,39,F,4,3,3,7980,200,520,117,83
t0007600,68,F,3,1,3,7238,181,181,117,64
t0007878,73,F,2,0,3,9752,244,240,117,127
t0007196,76,F,1,0,3,9260,232,232,117,115
t0007860,50,F,1,0,2,520,13,50,100,-50
t0008165,63,F,1,0,3,9260,232,232,117,115
t0007919,48,F,2,1,3,9629,241,255,117,124
t0008163,46,F,3,1,3,13191,330,149,124,206
t0008186,49,F,4,2,3,0,0,233,117,-67
t0008308,32,M,3,1,4,12544,314,113,203,111
t0008343,35,F,4,2,4,3302,83,145,129,-46
t0016973,29,F,5,4,4,0,0,50,129,-79
t0007086,55,F,3,2,3,12619,316,195,117,199
t0007718,51,F,2,0,4,31434,786,1238,129,657
t0016959,37,F,3,2,3,12234,306,321,117,189
t0008535,78,F,3,1,3,90796,2270,2385,0,0
t0007874,72,F,1,0,3,12778,320,316,117,203
t0007732,58,F,1,0,3,13520,338,540,117,221
t0007803,53,F,1,0,2,10328,258,250,100,158
b0013169,64,F,6,5,3,15596,390,0,117,273
t0037500,36,F,2,1,3,15435,386,301,129,257
t0007595,44,F,3,1,3,15984,400,769,117,283
t0013251,30,F,3,2,2,2880,72,221,69,3
t0010944,67,F,1,0,1,9260,232,215,69,163
t0010901,30,F,4,3,2,9694,242,72,69,173
t0007886,61,F,2,1,2,18200,455,443,69,386
t0010101,36,F,2,1,2,120,3,50,69,-19
t0010971,54,F,1,0,2,9912,248,241,69,179
t0010920,37,M,2,1,2,0,0,50,69,-19
t0007966,65,F,1,0,2,3344,84,80,69,15
t0012238,58,F,2,0,2,12680,317,272,69,248
t0007704,60,F,1,0,2,600,15,50,69,-19
t0011555,38,F,1,0,2,1800,45,50,69,-19
t0036957,22,F,2,1,2,8540,214,0,69,145
t0008223,38,F,4,2,4,24576,614,50,97,517
t0015983,30,F,6,5,4,526,13,50,97,-47
t0007516,60,M,2,0,4,9260,232,225,97,135
t0007916,62,F,4,2,4,18908,473,459,97,376
t0007499,51,F,4,3,4,17784,445,353,97,348
t0012051,57,F,2,0,4,10724,268,225,97,171
t0008399,38,F,3,1,5,13105,328,385,107,221
t0007786,30,F,6,5,4,7536,188,188,97,91
t0015985,53,F,3,1,3,3120,78,280,87,-9
t0021434,36,F,7,6,6,8197,205,315,113,92
t0007107,40,F,3,2,3,10896,272,50,87,185
t0021377,38,F,3,2,4,11622,291,183,97,194
t0012626,42,F,5,4,6,16920,423,394,210,213
t0007608,73,F,5,4,5,19340,484,234,107,377
t0008505,71,M,3,2,3,8060,202,195,87,115
t0013923,35,F,8,7,5,1450,36,50,107,-57
t0011346,45,F,4,2,4,7920,198,159,97,101
t0015919,31,F,4,3,3,6416,161,242,87,74
t0021717,28,F,5,4,4,19383,485,240,97,388
t0010817,59,F,5,0,4,14449,361,134,97,264
t0021497,26,F,5,4,4,7500,188,50,97,91
t0021430,37,F,5,4,6,7332,183,163,113,70
t0007739,37,F,5,4,5,1920,48,50,107,-57
t0014099,31,M,8,6,4,15110,378,155,97,281
t0015630,40,M,4,2,4,6204,155,93,97,58
t0016158,37,F,6,5,5,17039,426,413,107,319
t0009997,62,F,1,0,2,14624,366,326,71,295
t0013536,49,M,3,2,3,16608,415,284,82,333
t0038540,26,F,5,4,3,5832,146,0,82,64
t0010153,69,F,1,0,2,9404,235,232,71,164
t0007493,44,F,2,1,2,8780,220,213,71,149
t0011495,36,F,2,1,3,15936,398,50,82,316
t0009939,68,F,1,0,3,10796,270,215,82,188
t0009993,26,M,3,1,2,9962,249,50,71,178
t0009910,56,F,2,1,2,10080,252,252,71,181
t0009919,71,F,1,0,3,9071,227,227,82,145
t0010143,39,F,4,3,3,3116,78,174,82,-4
t0011997,41,F,1,0,2,14872,372,637,71,301
t0010112,39,F,1,0,2,0,0,50,71,-21
t0009979,68,F,1,0,3,9188,230,196,82,148
t0038387,72,F,2,1,2,20492,512,0,71,441
t0009907,38,F,2,1,2,4114,103,134,71,32
t0009906,42,F,3,2,3,16302,408,57,82,326
t0010056,46,F,3,2,2,5688,142,142,71,71
t0009896,50,F,1,0,2,9260,232,203,82,150
t0010093,60,F,1,0,3,9020,226,219,82,144
t0010033,61,F,1,0,3,29178,730,278,82,648
t0038238,42,F,2,0,2,8875,222,0,71,151
t0010030,41,F,3,2,3,0,0,50,82,-32
t0009973,69,F,2,1,2,18224,456,414,71,385
t0010095,71,F,3,2,3,26024,651,630,82,569
t0012362,55,F,1,0,2,17072,427,365,71,356
t0012409,31,F,1,0,2,270,7,772,71,-21
t0017840,31,F,2,1,2,17968,449,0,0,449
t0016014,28,F,5,4,2,5940,149,202,71,78
t0009911,45,F,2,0,3,19314,483,50,82,401
t0013972,26,F,2,1,2,11610,290,0,71,219
t0009972,50,F,3,1,3,13637,341,200,82,259
t0018478,26,F,4,3,3,16832,421,408,82,339
t0018345,43,F,2,1,2,16126,403,280,71,332
t0010016,69,F,2,0,2,9260,232,225,71,161
t0010128,67,F,2,1,2,18020,451,435,71,380
t0012416,53,F,1,0,2,2100,53,50,71,-18
t0017648,33,F,3,2,2,10637,266,117,71,195
t0012166,40,F,2,1,2,13261,332,172,71,261
t0010906,27,F,3,2,3,8460,212,205,82,130
t0017581,31,F,5,4,3,20479,512,266,82,430
t0010024,54,F,2,1,2,10577,264,50,71,193
t0013422,27,F,3,2,2,30714,768,50,71,697
t0010048,36,F,3,2,3,8592,215,205,82,133
t0009967,63,F,1,0,3,13112,328,290,82,246
t0009935,42,F,2,0,3,9932,248,254,82,166
t0009924,47,F,3,2,2,10059,251,420,71,180
t0009988,47,F,3,2,3,8584,215,215,82,133
t0010087,58,F,1,0,2,8912,223,213,71,152
t0011388,34,F,1,0,2,7917,198,50,71,127
t0011808,37,F,4,3,3,10694,267,525,82,185
t0015625,28,F,4,3,3,22400,560,50,82,478
t0009216,50,F,2,1,3,7808,195,0,82,113
t0010104,37,F,3,2,3,7492,187,174,82,105
t0009918,41,F,2,1,3,4248,106,103,82,24
t0015268,41,M,4,2,3,14728,368,489,82,286
t0036908,47,F,2,1,2,22665,567,347,71,496
t0012002,33,F,3,2,2,48221,1205,51,71,0
t0014637,29,F,3,2,2,0,0,581,71,-21
t0012209,31,F,3,2,3,4511,113,124,82,31
t0015302,43,F,1,0,2,11765,294,610,71,223
t0036980,55,M,2,0,2,25782,645,267,71,574
t0010002,51,M,1,0,2,0,0,75,71,-21
t0010065,31,F,1,0,3,0,0,115,82,-32
t0015200,29,F,3,2,3,0,0,655,82,-32
t0015860,28,F,3,2,2,1896,47,50,71,-21
t0010138,69,F,2,1,3,30128,753,746,82,671
t0009947,21,F,2,1,3,0,0,50,82,-32
t0016466,69,F,1,0,2,9404,235,232,71,164
t0016466,38,M,2,1,2,8940,224,213,71,153
t0010075,49,M,1,0,2,9020,226,219,71,155
t0008175,28,F,6,5,3,18530,463,50,82,381
t0011893,34,F,5,4,3,5208,130,336,82,48
t0038391,30,F,3,2,3,21272,532,0,82,450
t0011979,35,F,3,2,3,0,0,488,82,-32
t0017988,54,M,2,1,2,9164,229,0,71,158
t0009987,51,F,3,1,3,70658,1766,518,82,0
t0009986,77,F,2,1,3,28381,710,680,82,628
t0008532,70,F,2,0,2,6614,165,526,71,94
t0012414,35,F,4,3,3,0,0,267,82,-32
t0012713,28,F,3,2,2,0,0,50,71,-21
t0016458,42,F,2,1,2,13676,342,270,71,271
t0010909,36,F,3,2,3,1656,41,129,82,36
t0009980,57,F,1,0,3,10428,261,269,82,179
t0010110,38,F,7,5,3,17384,435,163,82,353
t0009974,61,F,2,1,2,27102,678,420,71,607
t0010132,55,M,1,0,2,13868,347,337,71,276
t0007566,43,F,4,3,3,948,24,99,82,-32
t0017683,31,F,2,1,2,0,0,50,71,-21
