tid,age,sex,num_hh,num_dep,num_br,income,rent,total_trans,late_trans
t0024248,61,M,1,0,1,8735,218,19,0
t0007844,65,F,1,0,1,11072,277,51,1
t0023758,63,M,1,0,1,9020,226,17,1
t0023961,57,M,1,0,1,9020,226,27,8
t0011350,70,M,1,0,1,15850,396,59,0
t0007894,74,F,1,0,1,9404,235,50,17
t0011354,90,F,1,0,1,19114,478,61,28
t0036987,53,M,1,0,1,9356,234,17,5
t0007624,64,F,1,0,1,19157,479,75,64
t0007478,68,F,1,0,1,12247,306,57,5
t0007156,84,F,1,0,1,10561,264,50,9
t0013942,69,M,1,0,1,16412,410,63,25
t0015451,68,F,1,0,1,15981,400,50,27
t0012320,64,F,1,0,1,9404,235,50,0
t0014994,56,M,1,0,1,9404,235,50,6
t0007798,63,F,1,0,1,9668,242,50,1
t0013332,63,M,1,0,1,14240,356,51,3
t0015710,56,M,1,0,1,0,50,50,0
t0008078,61,M,1,0,1,9404,235,50,7
t0012285,68,M,1,0,1,9164,229,50,5
t0008015,64,F,1,0,1,9740,244,50,2
t0017117,53,M,1,0,1,9164,229,29,3
t0010280,71,F,1,0,1,9400,235,24,11
t0008158,103,F,1,0,1,16461,412,55,1
t0007776,69,M,2,0,1,12080,302,50,3
t0030095,56,F,1,0,1,9020,226,25,0
t0016275,56,F,1,0,1,4190,105,49,25
t0010861,62,M,1,0,1,9164,229,51,14
t0014849,66,M,1,0,1,9164,229,62,0
t0008312,59,M,1,0,1,1200,50,50,21
t0012063,62,M,1,0,1,15644,391,50,23
t0023790,64,F,1,0,1,8860,221,12,0
t0007155,74,F,1,0,1,8084,202,60,9
t0014201,56,M,1,0,1,9164,229,17,0
t0011967,63,F,1,0,1,9404,235,21,0
t0007175,85,F,2,0,1,9260,232,50,1
t0008123,77,M,1,0,1,9392,235,60,39
t0014162,57,M,1,0,1,9020,226,50,0
t0023721,65,F,1,0,1,9164,229,23,11
t0015885,62,M,1,0,1,9399,235,50,16
t0007635,64,M,1,0,1,8450,211,55,21
t0014897,56,M,1,0,1,9524,238,50,9
t0012994,58,F,1,0,1,8912,223,51,16
t0000268,60,M,1,0,1,13184,330,50,15
t0011722,74,F,1,0,1,9164,229,59,18
t0007736,67,M,1,0,1,8791,220,50,4
t0034364,76,M,1,0,1,9260,232,17,2
t0011122,66,F,1,0,1,6766,169,54,28
t0013846,79,F,1,0,1,9164,229,50,0
t0012716,61,M,1,0,1,3000,75,52,10
t0008157,80,F,1,0,1,9477,237,50,4
t0007799,61,F,1,0,1,27320,683,51,10
t0014685,69,F,1,0,1,9412,235,50,11
t0012813,56,F,1,0,1,3232,81,57,22
t0011789,69,F,1,0,1,13405,335,50,26
t0008159,75,M,1,0,1,12946,324,58,30
t0011723,73,M,1,0,1,9164,229,38,12
t0007933,63,F,1,0,1,9412,235,63,30
t0007153,65,M,1,0,1,9020,226,53,20
t0037161,70,M,1,0,1,9020,226,17,1
t0007701,64,F,1,0,1,11038,276,50,21
t0007790,68,F,1,0,1,9034,226,50,8
t0012993,58,M,1,0,1,9020,226,50,32
t0013033,64,M,1,0,1,9020,226,50,12
t0007990,60,M,1,0,1,8341,209,50,2
t0024165,56,M,1,0,1,12668,317,22,1
t0007167,63,M,1,0,1,8852,221,13,0
b0014540,66,M,1,0,1,9156,229,55,26
t0023894,59,F,1,0,1,9020,226,21,3
t0024157,62,M,1,0,1,8288,207,25,8
t0011816,61,F,1,0,1,9164,229,50,0
t0007392,63,F,1,0,1,17710,443,75,54
t0007824,64,F,1,0,1,15068,377,60,0
t0007590,70,M,1,0,1,9156,229,50,0
t0013719,58,F,2,0,1,18920,473,50,11
t0012817,55,F,1,0,1,8216,206,50,26
t0016598,54,F,1,0,1,8996,225,43,2
t0011223,90,F,2,0,1,12248,306,50,8
t0012082,58,F,1,0,1,8480,212,50,12
t0014795,69,M,1,0,1,15905,398,50,13
t0007743,71,F,1,0,1,9000,225,63,40
t0007845,71,F,1,0,1,9416,236,50,0
t0015216,54,M,1,0,1,9164,229,33,20
t0012995,58,F,1,0,1,12080,302,64,46
t0011602,69,M,1,0,1,9044,226,50,27
t0008143,64,F,1,0,1,9404,235,50,4
t0016098,81,F,1,0,1,9439,236,46,7
